v1,v2,v3,v4,v5,v6,amount,hour,is_fraud
-1.63238,0.27133,-1.282906,2.226407,-1.442217,0.068986,4.837264,21,0
-0.939097,-0.389273,-0.825555,-2.125736,-0.106682,0.199031,41.200263,17,0
1.036307,-0.049574,-1.037251,1.146745,0.064568,2.494023,120.421267,15,0
0.092147,0.208204,-0.262786,0.856577,-0.347324,-0.572946,59.037351,4,0
-1.056209,-0.645515,-2.581609,-0.167641,0.803255,-0.25239,302.759167,21,0
1.353493,-1.068518,0.198362,0.30051,-1.329516,0.474584,54.92127,19,0
0.643233,1.915424,1.693828,0.793808,0.33102,1.335383,87.044637,19,0
-1.307893,-0.340363,-0.192527,-0.090965,-0.830698,-2.023085,105.249048,4,0
1.882193,1.509153,-0.272012,-0.005489,-2.479423,-0.19601,10.894098,17,0
0.212562,1.250125,-0.089741,0.528617,0.745629,0.200569,221.637416,11,0
-0.460783,-0.45661,0.398525,-0.334712,-1.263906,0.833255,294.695106,11,0
1.450583,0.490437,-1.98252,-1.019424,-0.675282,0.442037,241.885655,20,0
0.079154,-3.150826,0.66861,-1.870155,-0.524967,-1.313025,44.993907,0,0
1.920182,-0.389632,-0.823829,-0.298449,0.873574,-0.514389,156.219634,10,0
0.097686,-0.161536,-0.601245,-0.666523,0.42378,1.608882,154.126019,6,0
0.662587,1.496912,1.15144,0.660858,0.0797,-0.075231,199.766815,8,0
2.285936,0.140705,-0.440575,0.585622,-1.785262,1.250809,51.310179,6,0
0.290786,-1.682951,-0.034657,0.088466,-0.449522,-1.042861,128.432503,12,0
-2.283154,-0.236749,-0.672326,0.117836,0.583468,2.269613,21.890126,16,0
-0.148789,-0.551646,-0.761034,0.707041,-1.605133,-1.579719,142.870862,7,0
-1.448556,1.983718,-0.541174,0.96744,0.276551,0.303732,778.301069,12,0
-1.988537,0.100682,-0.234754,-0.248775,1.528924,-1.255915,63.018373,17,0
-0.202277,-0.550012,0.829062,-1.251409,-0.615022,0.170054,184.257655,13,0
-0.63956,0.183562,1.330857,-0.039326,-1.565817,1.2323,46.97405,5,0
0.416981,-0.082074,-0.582563,0.054425,0.703609,-2.112141,91.16675,20,0
-1.761035,-1.891029,1.064163,1.619373,0.553735,-0.30558,61.458803,3,0
-0.373602,0.891934,1.652539,1.002865,0.24103,-1.375641,45.870956,7,0
-3.730186,-1.511147,2.182476,-0.179959,-0.826431,-0.090661,71.334872,19,1
0.829216,-0.336717,-1.834154,0.964917,0.076997,-1.800888,21.830035,21,0
1.192694,-0.298497,-1.378548,0.284828,-0.651068,1.548267,68.517915,21,0
-0.488675,-0.312445,-1.511475,-0.531948,-0.422745,1.430254,393.302094,12,0
0.618602,-0.91786,-0.652019,0.432779,0.70246,-0.018247,32.271939,20,0
0.985536,0.847399,-2.755407,-0.002948,0.893428,0.379499,35.383705,5,0
0.202779,-0.238728,0.147871,1.835889,0.172674,-0.514449,101.179493,11,0
-0.860458,-0.560225,1.471835,1.351709,-1.314396,-0.36597,317.157446,6,0
0.969622,-0.078481,-0.559236,0.107686,-0.647728,0.397985,21.4343,16,0
1.011879,0.31817,-0.689637,0.568948,-0.67044,0.010045,394.798411,7,0
-0.723684,-1.700512,1.906056,-1.530226,-0.026717,1.851484,33.375733,12,0
-1.083802,1.447199,-0.431956,-1.167448,-0.047724,1.263977,668.032286,2,0
-0.188253,-0.977395,-0.42988,0.394063,-0.233143,1.407194,315.84851,9,0
-1.214417,-1.361863,-0.524982,0.65302,-0.798174,0.302199,59.887869,21,0
1.073385,0.399965,-1.786528,-1.780752,0.918276,1.520123,225.921467,4,0
1.154374,1.127427,0.686867,0.60623,-1.380243,-0.876119,32.333634,15,0
2.826443,-2.369964,0.488174,0.954951,-0.216077,0.92809,49.971128,22,0
1.794325,1.191319,0.582796,-0.767543,-0.416574,-1.002957,420.150992,6,0
0.493509,-0.18571,-0.127771,-0.90135,-0.253831,0.574876,32.937509,21,0
2.038885,-2.541671,-1.454201,0.308964,1.016709,-0.066439,264.827133,10,0
-1.732208,1.664278,-0.774117,1.479372,-0.263134,0.10313,72.719468,9,0
0.473947,-0.791679,-0.24412,-2.166896,0.718807,0.244466,171.323976,11,0
-1.19865,-1.641096,-0.047717,-2.105539,-0.544322,-0.247613,62.10237,14,0
0.313497,1.480975,-1.726383,1.462642,0.514944,-0.865198,86.251471,0,0
2.049556,-0.298853,0.018449,-0.610125,1.276755,0.853176,73.43027,6,0
0.477632,-0.774111,0.349451,0.919989,0.668809,0.34872,10.548155,3,0
0.162435,-1.509574,-0.506473,0.827524,-0.251918,0.312246,64.475445,12,0
0.530633,-1.537175,-0.019142,-1.460304,0.507979,-1.115958,41.519684,6,0
-1.727059,0.398545,-2.085371,-1.350168,0.413649,-1.383734,97.96355,18,0
-0.909356,2.53708,0.86853,-0.484148,0.684116,-0.245237,195.808428,22,0
-0.367975,0.32808,-0.581069,1.529776,-0.088591,-0.412311,144.862379,22,0
-1.680605,-1.538058,-0.751625,0.157908,0.225943,-1.271697,30.100639,20,0
-0.356935,0.513178,-0.657094,-0.659763,-1.127367,-1.238923,112.726125,16,0
1.18747,0.479155,-0.141634,-0.568932,0.539012,-1.050909,1520.790308,11,0
-0.844839,0.744938,-0.115639,-0.325123,-0.091064,2.559528,18.171071,20,0
2.082517,0.757967,0.120872,-0.522479,2.25461,-0.746995,142.518828,11,0
-0.869752,0.493802,4.087923,1.166874,0.246407,0.483792,131.089964,12,0
1.076135,-0.853482,-0.243071,0.467421,0.871191,1.753353,35.531434,14,0
0.321043,1.719109,1.723404,-2.452637,2.446388,0.416987,122.270038,1,0
0.220512,-0.466261,-0.424842,-0.400321,-0.244918,1.758958,622.841812,13,0
0.314666,-1.18758,-0.827106,0.302738,0.157786,0.257927,112.462065,5,0
1.0152,0.637438,-0.922184,-0.32584,0.154503,-0.558636,165.981759,3,0
-0.423237,-0.662635,0.216683,0.661492,0.250741,-0.739185,150.425588,8,0
-0.051677,3.435609,0.848878,-0.584146,-0.050602,0.679859,74.138487,2,0
0.756865,-0.104474,1.271577,0.814688,-0.445134,-0.128198,28.214831,6,0
-1.349185,-0.693622,0.677689,0.681073,-0.572453,-1.02171,574.947414,23,0
-2.089101,0.926823,0.592208,1.23608,-0.622568,0.161182,146.747977,20,0
0.687016,-0.96086,1.279112,1.43585,-1.360541,0.288298,113.801659,0,0
