duration,src_bytes,dst_bytes,count,srv_count,protocol,flag,attack
0.5194,14225,792,72,33,0,1,0
0.3414,376,39,34,22,0,1,0
0.577,777,3468,25,5,0,0,0
0.1401,1244,12039,24,34,1,0,0
0.701,5589,768,39,64,0,0,1
1.0852,3323,1100,9,25,0,0,0
0.844,720,11,79,31,1,3,0
0.1822,6595,58,16,28,0,0,0
0.0178,452,949,13,22,0,0,1
0.477,800,425,8,9,1,0,0
0.1985,185,1167,259,7,0,2,1
0.5118,393,62,76,14,0,0,0
0.5648,40,2344,44,33,2,0,0
0.674,2801,187,77,28,0,2,0
0.7278,265,1336,29,9,0,0,0
0.1073,41,134,16,1,1,1,0
1.1574,2926,72,69,34,2,0,0
0.0223,2409,4963,124,15,2,1,1
0.3201,1656,218,11,26,0,0,0
0.1792,6119,496,11,18,0,2,0
0.085,4317,345,50,8,2,0,0
0.2692,14,787,49,9,2,2,1
1.7304,296,388,6,30,0,2,0
0.7324,169,342,68,15,0,0,0
0.0167,4314829,70,219,13,1,3,1
0.5418,567,77,5,5,0,0,0
0.4175,32748,615,46,6,0,3,0
0.6058,534,8,113,50,0,0,1
0.8928,1280,108,40,24,0,0,0
0.8126,149,12,7,24,0,0,0
0.2067,22,287,36,20,0,1,1
0.1779,73,36,283,34,0,1,1
0.3419,193,148,69,9,1,0,0
0.0493,977,16,30,23,1,0,0
0.5171,755,38144,24,20,0,3,0
0.0588,3817,1018,36,28,0,0,0
0.0369,14593,402,19,32,0,0,0
0.1559,80,168,55,6,1,0,0
0.0927,3405,96,244,65,0,1,1
1.0487,4364,193,31,23,1,2,0
0.2463,861,194,7,12,1,0,0
0.7977,549,2137,16,32,1,1,0
0.1199,129,324,75,12,1,1,0
0.6147,571,777,26,18,0,3,0
0.3443,60,29,298,41,0,0,1
0.7538,17241,3204,70,26,0,0,0
0.2436,2256,59,291,21,0,1,1
0.2337,45,1391,46,13,1,0,0
1.6433,196,69,20,13,0,0,0
0.3765,1408,433,18,18,1,0,0
0.0029,154,23,72,4,0,0,0
1.2749,266,1594,73,30,0,0,0
0.2139,7,3673,24,25,1,3,0
0.3949,265,1388,70,28,2,0,0
0.0034,3078,76,58,12,2,2,0
0.04,124,189,43,66,1,2,1
0.1901,1002,5621,68,15,0,1,0
1.6881,1340,208,13,32,1,0,0
0.3946,63,2713,75,19,0,2,0
0.208,8488,1493,256,46,2,0,1
0.4846,86,94,65,2,2,1,0
0.0674,371071,1312,48,25,1,0,0
0.6313,8749,1,233,41,0,3,1
0.4489,3365,147,153,8,1,1,1
0.1242,48,123,25,3,0,2,0
0.4974,78,2111,24,16,0,0,0
0.5386,782,110968,26,21,2,0,0
0.821,1828,606,76,13,1,2,0
0.486,218,36,79,29,0,1,0
0.5919,262,31841,19,4,0,3,0
0.1566,16,30,34,17,1,0,1
0.2198,134325,9,236,27,0,0,1
0.6513,191,11,17,34,1,3,1
0.241,683,73,9,23,1,2,0
0.3192,1748,2964,1,26,0,2,0
1.191,421,1471,49,8,0,0,0
0.856,2329,9369,58,18,0,0,1
0.0304,111,6877,13,33,1,2,0
0.7895,17415,456,76,30,0,2,0
0.0981,105,16,59,24,0,3,0
0.0033,83950,85,173,58,0,2,1
0.0907,27,59,167,55,0,2,1
0.2423,861651,165,140,57,1,1,1
1.4845,1041,14366,62,7,1,0,1
1.2369,390,830,51,10,0,3,0
0.0015,2827,1452,189,54,1,1,1
0.4753,326,15317,31,16,0,3,0
0.0128,6708,272,28,5,0,0,0
0.0095,184,342,44,21,2,0,0
0.5979,66,74,34,22,0,0,0
0.5077,607,980,60,10,0,0,0
0.0866,233,29558,1,34,1,0,0
0.9008,15003,507,41,65,0,1,1
0.2114,1115,9626,12,10,1,1,1
0.2248,55,11149,52,26,1,0,0
0.6937,2550,2133,9,23,0,0,0
0.8899,123,2070,79,32,1,0,0
0.7027,21,2054,62,34,0,1,0
1.6354,40,187,18,23,0,1,0
0.6135,961,1280,49,34,0,0,0
0.2345,5119,2610,26,34,1,0,0
0.0283,154,1609,1,30,1,0,0
0.0603,1817,234,237,59,1,1,1
0.401,154,4542,69,28,0,0,0
0.3729,28,1310,1,26,1,0,0
0.3379,13096,729,272,55,0,0,1
0.0724,44,30748,32,26,0,2,1
0.749,1564,7,26,22,0,3,0
0.4839,359,2020,79,9,1,0,0
0.1875,523,625,40,14,1,0,0
0.7992,10,1071,43,22,0,2,0
0.0061,17953,593,286,28,0,1,1
0.1489,12,397,34,5,1,0,0
0.0458,54,152,53,25,1,0,0
0.1646,337,374,71,25,1,2,0
0.953,308,199,67,23,0,0,0
0.1826,759,414,48,8,0,3,0
0.003,1936,4001,5,10,1,0,0
0.2633,4054,993,48,17,0,0,0
0.5549,2230,11202,11,2,0,2,0
0.0158,420,209,54,30,2,1,0
0.9756,536,6471,3,2,0,0,0
0.203,35,311,8,19,0,0,0
0.0674,2030,1530,26,8,1,0,0
0.0723,9,229,55,26,0,0,0
0.1697,3029,2,296,24,0,1,1
0.7234,13,167,3,10,0,3,0
0.2877,8,1860,40,34,0,0,0
0.3277,12723,23,239,41,2,2,1
0.2433,995,444,17,16,0,0,0
0.1093,2044,866,98,56,1,1,1
0.2411,152033,59,59,34,1,2,1
0.0448,46,8589,48,17,1,0,0
0.0332,27565,2,96,57,0,2,1
0.0581,5,18,72,9,0,0,0
0.4654,7851,1059,73,30,0,1,0
0.2873,296,1209,52,19,2,0,0
0.2147,50,10040,59,26,0,0,0
0.6321,8942,404,58,22,0,1,0
0.4133,8230,375,55,31,0,0,0
0.2045,633,124,34,32,1,0,0
2.1007,79,1673,11,10,0,2,0
0.8559,75,5690,77,1,0,0,0
0.5574,1135,841,284,66,0,1,1
0.1307,82,1926,16,18,0,0,1
0.6525,592,17344,54,1,1,0,1
0.5105,219,5449,41,9,0,0,0
0.1455,213,17,70,26,1,0,0
0.0565,15097,3343,18,20,0,1,0
0.5971,2224,5,126,40,2,0,1
0.4727,3259,121,24,14,0,1,0
0.2134,5960,41,252,34,0,0,1
0.5916,2354,729,27,24,0,0,0
