air_temp,process_temp,rotational_speed,torque,tool_wear,failure
295.13,304.57,1598.0,19.27,100.3,0
298.7,308.3,1361.7,53.18,65.3,0
300.48,311.62,1531.8,43.16,109.9,0
299.3,308.75,1378.8,35.42,130.4,0
302.02,311.68,1650.2,43.25,210.9,1
299.18,310.67,1400.0,43.32,155.2,0
299.94,310.67,1501.3,34.73,66.5,0
300.26,308.61,1494.2,45.87,100.6,1
296.48,306.37,1460.4,42.92,122.2,0
301.5,311.98,1511.6,36.38,74.1,0
301.98,311.97,1486.8,43.59,112.9,0
301.65,311.44,1478.0,39.16,48.0,0
298.84,309.01,1418.5,23.31,110.2,0
300.92,310.77,1638.0,24.53,208.0,0
300.9,310.59,1551.8,56.29,51.8,0
301.33,311.36,1512.0,40.76,212.6,0
299.06,307.9,1620.9,22.13,18.8,0
300.59,309.28,1569.7,38.68,78.1,0
297.64,306.22,1263.5,46.72,170.7,1
300.77,312.14,1591.2,29.01,148.2,0
303.6,314.02,1292.8,41.11,112.5,0
299.41,310.05,1493.4,29.0,176.4,0
301.19,310.38,1377.2,34.63,40.8,0
298.92,309.64,1584.4,27.19,75.0,0
300.02,309.79,1607.1,27.37,176.4,0
299.36,309.28,1431.7,39.44,164.5,0
298.88,308.77,1470.4,30.25,68.5,0
302.79,316.06,1286.3,55.63,158.5,1
297.64,307.73,1449.2,55.54,58.7,0
299.55,309.23,1483.6,33.41,102.1,0
307.24,321.21,1334.4,59.82,229.9,1
298.29,308.16,1479.2,29.42,157.6,0
298.44,308.5,1601.7,27.22,131.7,0
300.19,310.16,1763.0,29.95,45.5,0
302.1,311.86,1421.0,19.89,60.2,0
297.61,307.52,1506.4,48.18,115.3,0
302.46,312.63,1486.9,34.65,192.4,0
298.35,308.24,1486.9,56.82,171.1,1
304.93,319.14,1225.3,42.07,246.5,1
302.09,313.43,1409.9,50.62,139.7,0
299.32,309.35,1400.9,63.91,197.6,0
301.53,310.39,1475.5,27.78,147.5,0
298.29,307.56,1226.0,44.44,52.6,0
299.02,308.7,1287.3,14.25,219.4,1
302.57,314.34,1442.9,35.33,129.2,0
298.32,308.45,1506.7,32.59,37.5,0
301.8,311.83,1326.8,39.43,135.7,0
299.64,309.26,1325.2,56.75,80.0,0
301.07,310.73,1379.7,29.37,214.5,0
299.38,309.05,1529.2,33.58,149.9,0
299.93,310.59,1521.9,44.17,103.7,0
299.66,311.28,1578.0,37.51,194.3,0
296.43,308.19,1460.5,28.39,159.7,0
299.44,308.58,1384.1,67.7,139.6,0
298.71,310.99,1323.2,25.22,179.8,0
300.14,309.67,1510.8,61.28,17.3,0
301.3,311.18,1490.9,46.3,209.2,0
